Month,Year,Season,daytime_temperature_celcius,nighttime_temperature_celcius,relative_humidity_%,rainfall_mm
Jan,2014,Short Dry Season,33.4,25.9,76,0.9
Feb,2014,Short Dry Season,32.5,24.4,81,80.6
Mar,2014,Long Rainy Season,32.3,23.7,87,426.3
Apr,2014,Long Rainy Season,31.4,23.5,90,449.2
May,2014,Long Rainy Season,30.6,22.4,88,154.5
Jun,2014,Long Dry Season,31.1,20.9,84,4.2
Jul,2014,Long Dry Season,30.4,19.8,82,7.9
Aug,2014,Long Dry Season,31.8,20,80,0.5
Sep,2014,Transitional Period,30.6,20.2,80,60.8
Oct,2014,Short Rainy Season,32.6,21.7,78,20.1
Nov,2014,Short Rainy Season,33.6,23.1,78,33.9
Dec,2014,Short Rainy Season,33.6,25.1,77,40
Jan,2015,Short Dry Season,32.7,25.5,76,50.1
Feb,2015,Short Dry Season,34,25.5,74,0.8
Mar,2015,Long Rainy Season,33.2,24.6,78,226.2
Apr,2015,Long Rainy Season,32.9,23.8,83,161
May,2015,Long Rainy Season,30.9,22.8,86,342.5
Jun,2015,Long Dry Season,31.6,20.7,78,3.5
Jul,2015,Long Dry Season,31.2,20.2,79,8.7
Aug,2015,Long Dry Season,30.3,20.1,77,20.9
Sep,2015,Transitional Period,31.3,20.2,77,11
Oct,2015,Short Rainy Season,32.8,22,77,15.5
Nov,2015,Short Rainy Season,32,24.6,82,132.6
Dec,2015,Short Rainy Season,33.1,26,79,66.1
Jan,2016,Short Dry Season,33,26.8,77,154.2
Feb,2016,Short Dry Season,32.3,25.8,80,98.7
Mar,2016,Long Rainy Season,31,27,83,56.2
Apr,2016,Long Rainy Season,31,24.6,91,352.8
May,2016,Long Rainy Season,31.2,22.5,81,8.6
Jun,2016,Long Dry Season,30.7,21.1,81,3.5
Jul,2016,Long Dry Season,30.1,19.8,80,1.9
Aug,2016,Long Dry Season,30.7,20.4,80,4.3
Sep,2016,Transitional Period,30.4,20,80,26.8
Oct,2016,Short Rainy Season,31.6,19,79,0.1
Nov,2016,Short Rainy Season,31.7,23.9,81,49.6
Dec,2016,Short Rainy Season,31.5,26.9,81,26.2
Jan,2017,Short Dry Season,33.7,26.4,79,6.3
